subregion,avg_temp,month
anderson,8.00258064516129,Jan
andrews,6.038571428571428,Jan
angelina,8.43135593220339,Jan
aransas,12.34,Jan
archer,5.22027972027972,Jan
armstrong,2.0715384615384616,Jan
atascosa,10.956741573033709,Jan
austin,9.856043956043957,Jan
bailey,2.8163636363636364,Jan
bandera,8.879611650485437,Jan
bastrop,9.355084745762712,Jan
baylor,4.590151515151515,Jan
bee,11.995081967213116,Jan
bell,7.9470967741935485,Jan
bexar,10.546408839779005,Jan
blanco,8.373333333333333,Jan
borden,5.6061538461538465,Jan
bosque,6.815753424657534,Jan
bowie,5.568181818181818,Jan
brazoria,11.001025641025642,Jan
brazos,9.75625,Jan
brewster,8.305392731535756,Jan
briscoe,2.43006993006993,Jan
brooks,13.5352,Jan
brown,6.548175182481752,Jan
burleson,9.963541666666666,Jan
burnet,7.836551724137931,Jan
caldwell,9.589610389610389,Jan
calhoun,12.074,Jan
callahan,6.303787878787879,Jan
cameron,15.018803418803419,Jan
camp,5.959375,Jan
carson,2.0293706293706295,Jan
cass,6.081428571428572,Jan
castro,1.9968992248062016,Jan
chambers,10.772368421052631,Jan
cherokee,7.801333333333333,Jan
childress,4.095,Jan
clay,4.826060606060606,Jan
cochran,3.0066115702479337,Jan
coke,5.871428571428571,Jan
coleman,6.681818181818182,Jan
collin,5.585826771653544,Jan
collingsworth,3.266923076923077,Jan
colorado,10.056060606060607,Jan
comal,9.3275,Jan
comanche,6.247482014388489,Jan
concho,7.412056737588652,Jan
cooke,5.20530303030303,Jan
coryell,7.514193548387097,Jan
cottle,4.020895522388059,Jan
crane,7.0056,Jan
crockett,7.126442307692308,Jan
crosby,4.092592592592593,Jan
culberson,6.2618613138686134,Jan
dallam,1.064935064935065,Jan
dallas,6.562773722627737,Jan
dawson,4.77,Jan
deaf smith,1.9642857142857142,Jan
delta,4.974418604651163,Jan
denton,5.545454545454546,Jan
de witt,11.084677419354838,Jan
dickens,4.083571428571428,Jan
dimmit,11.791176470588235,Jan
donley,2.5707692307692307,Jan
duval,12.172687224669604,Jan
eastland,5.5993006993006995,Jan
ector,6.197709923664122,Jan
edwards,8.262043795620437,Jan
ellis,6.844117647058823,Jan
el paso,6.235616438356164,Jan
erath,6.537333333333334,Jan
falls,8.389380530973451,Jan
fannin,4.8475409836065575,Jan
fayette,9.897080291970802,Jan
fisher,5.961788617886179,Jan
floyd,2.8234848484848487,Jan
foard,4.189380530973451,Jan
fort bend,10.42,Jan
franklin,5.347368421052631,Jan
freestone,8.015,Jan
frio,11.051677852348993,Jan
gaines,5.1805194805194805,Jan
galveston,11.216279069767442,Jan
garza,4.912903225806452,Jan
gillespie,8.02,Jan
glasscock,5.493495934959349,Jan
goliad,12.043478260869565,Jan
gonzales,10.179333333333334,Jan
gray,2.0741258741258743,Jan
grayson,5.28943661971831,Jan
gregg,6.665909090909091,Jan
grimes,9.25925925925926,Jan
guadalupe,10.075961538461538,Jan
hale,3.164705882352941,Jan
hall,3.545985401459854,Jan
hamilton,6.8,Jan
hansford,1.1636363636363636,Jan
hardeman,3.976530612244898,Jan
hardin,9.5912,Jan
harris,10.563855421686746,Jan
harrison,7.094736842105263,Jan
hartley,1.509047619047619,Jan
haskell,5.843076923076923,Jan
hays,8.904651162790698,Jan
hemphill,1.7492307692307691,Jan
henderson,7.410144927536232,Jan
